what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1380031629019
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1380031629019
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1380031629019
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1380031629019
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1380031629019
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1380031629019
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1380031629019
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1380031629019
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1380031629029
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1380031629029
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1380031629029
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1380031629029
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1380031629029
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1380031629029
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1380031629029
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1380031629029
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1380031629029
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1380031629029
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1380031629029
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1380031629029
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1380031629029
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1380031629029
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1380031629039
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1380031629039
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1380031629039
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1380031629039
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1380031629039
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1380031629039
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1380031629039
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1380031629039
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1380031629039
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1380031629039
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1380031629039
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1380031629049
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1380031629049
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1380031629049
os,sysinfo,,,"win32",1380031629049
arch,sysinfo,,,"x86",1380031629049
ws,sysinfo,,,"win32",1380031629049
locale,sysinfo,,,"en_US",1380031629049
processors,sysinfo,,,"2",1380031629049
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380031629049
java.runtime.version,sysinfo,,,"1.7.0_05-b05",1380031629049
java.specification.name,sysinfo,,,"Java Platform API Specification",1380031629049
java.specification.vendor,sysinfo,,,"Oracle Corporation",1380031629049
java.specification.version,sysinfo,,,"1.7",1380031629049
java.vendor,sysinfo,,,"Oracle Corporation",1380031629049
java.version,sysinfo,,,"1.7.0_05",1380031629049
java.vm.info,sysinfo,,,"mixed mode",1380031629049
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1380031629049
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380031629049
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1380031629049
java.vm.specification.version,sysinfo,,,"1.7",1380031629049
java.vm.vendor,sysinfo,,,"Oracle Corporation",1380031629049
java.vm.version,sysinfo,,,"23.1-b03",1380031629049
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1380031630129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031630739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031639631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031645919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031649119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031652965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031717362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1380031717382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031723472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031757672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031757692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031757722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031759962
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380031760092
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1380031760311
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1380031760334
stopped,bundle,com.cypress.fx3.cheatsheets,1.0.0.201301301712,"com.cypress.fx3.cheatsheets",1380031760534
stopped,bundle,com.cypress.fx3.doc,1.0.0.201302061645,"com.cypress.fx3.doc",1380031760534
stopped,bundle,com.cypress.fx3.hoverdoc,1.0.0.201301301712,"com.cypress.fx3.hoverdoc",1380031760534
stopped,bundle,com.cypress.fx3.product,1.0.0.201301301712,"com.cypress.fx3.product",1380031760534
stopped,bundle,com.cypress.fx3.templates,1.0.0.201301301712,"com.cypress.fx3.templates",1380031760534
stopped,bundle,com.cypress.fx3.ui,1.0.0.201301301712,"com.cypress.fx3.ui",1380031760534
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1380031760534
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1380031760534
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1380031760534
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1380031760534
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1380031760534
stopped,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.4.201202210114,"org.eclipse.cdt.cross.arm.gnu",1380031760544
stopped,bundle,com.zylin.embeddedcdt,4.18.1,"com.zylin.embeddedcdt",1380031760544
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1380031760544
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1380031760544
